Acceptor,Donor ,DOI,Voc (V),Jsc (mA/cm^2),FF (%),PCE (%),NFA abs max (solutioN),NFA max abs nm (thin film),NFA opt bg,NFA HOMO,NFA LUMO,donor abs solution,donor abs film,donor opt bg,donor HOMO,donor LUMO
IDIC,PT4FB,10.1039/C8TA08769E,0.97,13.72,71,9.81,,,,,,,,,-5.59,-3.61
IDIC,PTT4FB,10.1039/C8TA08769E,0.96,16.24,67,10.6,,,,-5.62,-4.04,,,,-5.58,-3.58
IDIC,PBDB-TF,10.1002/adma.201704546,0.97,17.8,69,11.9,,,,-5.65,-3.91,,,,-5.5,-3.61
IDIC-4Cl,BSCl-C1,10.1021/acsami.0c03977,0.564,4.9,33.9,0.9,688.5,755.8,1.52,-5.88,-3.98,506.5,533.5,1.87,-5.59,-3.34
IDIC-4Cl,BSCl-C2,10.1021/acsami.0c03977,0.865,20.1,71.3,12.4,,,,,,506.5,566.8,1.82,-5.58,-3.39
IDIC-4Cl,BSCl-C3,10.1021/acsami.0c03977,0.87,13.8,67,8.25,,,,,,506,569.7,1.84,-5.55,-3.37
IDIC-4Cl,ZR1,10.1038/s41467-019-13292-1,0.776,18.27,67.96,9.64,,,,-5.91,-4.1,,,,,
IDIC-4F,H11,10.1002/aenm.202001589,0.842,18.2,68.2,10.4,,,,,,,,,-5.27,-3.45
IDIC-4F,H13,10.1002/aenm.202001589,0.939,17.3,63.2,10.3,,,,,,,,,-5.43,-3.39
IDIC-4F,H14,10.1002/aenm.202001589,0.943,18.3,70.2,12.1,,,,,,,,,-5.46,-3.47
IDIC8-F,DRCN5T,10.1021/acsaem.8b00205,0.864,15.21,64.1,8.42,,,,-5.51,-3.82,,,,-5.22,-3.41
IDIC8-H,DRCN5T,10.1021/acsaem.8b00205,0.952,13.44,62.5,8,,,,-5.52,-3.76,,,,,
IDIC8-M,DRCN5T,10.1021/acsaem.8b00205,1.002,10.36,60.7,6.31,,,,-5.51,-3.72,,,,,
IDIC-PhC6,PBDB-T,10.1002/adma.201807832,0.869,12.2,57.9,6.14,654,682,1.71,-5.72,-3.86,,,,-5.28,-3.48
IDSe-T-IC,J51,10.1039/C6EE00315J,0.91,15.2,62,8.58,,,1.52,-5.45,-3.79,,,,-5.29,-3.3
IDST-4F,PBDB-TF,10.1016/j.nanoen.2020.104861,0.82,24.9,70,14.3,728,791,,-5.59,-4.01,,,,,
IDT(DCV)2,PTB7-Th,10.1021/acsami.6b15707,0.92,8.41,55,3.53,532,538,2.16,-5.81,-3.65,,,,-5.2,-3.59
IDT(TCV)2,PTB7-Th,10.1021/acsami.6b15707,0.49,11.02,53,2.84,602,616,1.86,-6.04,-4.18,,,,,
IDT-2B,PBDB-T,10.1002/adma.201703527,0.89,13.3,53.9,6.42,654,672,1.73,-5.8,-3.84,,,,,
IDT-2BM,PBDTTT-C-T,10.1039/C5TA05901A,0.77,10.1,55.1,4.26,660,688,1.6,-5.6,-3.8,,,,,
IDT-2BM,PTB7-Th,10.1039/C7TC00706J,0.826,9.29,52,3.97,656,690,1.08,-5.4,-3.77,,,,,
IDT-2BR,PTB7-Th,10.1007/s11426-016-0336-6,0.99,13,60,7.7,,,,,,,,,,
IDT-2BR,PTB7-Th,10.1016/j.orgel.2017.02.008,1.02,13.6,59.1,8.3,,636,,-5.52,-3.69,,,,-5.15,-3.44
IDT-2BR,P3HT,10.1039/C5EE02477C,0.84,8.91,68.1,5.12,,636,,-5.52,-3.69,,,,,
IDT-2BR,PTB7-Th,10.1039/C8TC00705E,1.05,14.62,59.9,9.39,,,,,,,,,-5.22,-3.63
IDT-2BR1,PTB7-Th,10.1007/s11426-016-0336-6,0.95,15.2,60,8.7,,,1.61,-5.37,-3.67,,,,,
IDT2-IC,PBDB-T,10.1016/j.orgel.2021.106329,0.94,13.23,65.71,8.18,710,715,1.5,-5.28,-3.91,,,,-5.25,-3.48
IDT2-IC-4Cl,PBDB-T,10.1016/j.orgel.2021.106329,0.81,22.22,69.81,12.53,739,779,1.4,-5.34,-3.95,,,,,
IDT-2O,PBDB-T,10.1002/adma.201703527,0.86,15.64,72.3,9.68,668,706,1.64,-5.73,-3.85,,,,,
IDT-2PDI,P3HT,10.1002/aenm.201400420,0.7,5.58,67,2.61,,,,-5.53,-3.83,,,,-4.76,-2.74
IDT2Se,PBDB-T,10.1039/C8TA00783G,0.89,17.49,60.8,9.36,722,747,1.45,-5.41,-3.87,,,,-5.33,-2.92
IDT2Se-4F,PBDB-T,10.1039/C8TA00783G,0.79,21.49,65.9,11.19,737,789,1.39,-5.51,-4,,,,,
IDT-3EsT,PBDB-T,10.1021/acsaem.1c02403,0.985,13.49,56,7.43,683,705,1.55,-5.38,-3.85,,,,-5.31,-3.44
IDT-3EsT-2IC2F,PBDB-T,10.1021/acsaem.1c02403,0.886,14.68,58,7.54,704,759,1.44,-5.38,-3.93,,,,,
IDT-4CN,PBDB-T,10.1021/acs.chemmater.8b02276,0.91,14.66,60.9,8.13,,698,,-5.45,-3.95,,,,-5.33,-3.53
IDT-4EsT-2IC2F,PBDB-T,10.1021/acsaem.1c02403,0.745,13.02,56,5.45,719,738,1.44,-5.35,-3.93,,,,,
IDT6CN-M,PBDB-T,10.1039/C9TA02243K,0.93,16.3,75.9,11.4,,,,,,,,,-5.34,-3.32
IDT6CN-M,PM6,10.1039/C9TA02243K,1.04,16.6,77.1,13.3,,,,,,,,,-5.5,-3.61
IDT6CN-M,PM7,10.1039/C9TA02243K,1.05,16.4,77.5,13.3,,,1.6,-5.6,-3.87,,,,-5.52,-3.57
IDTA,PBDB-T,10.1039/C9TA11752K,0.99,12.4,60,7.4,,,,-5.88,-3.9,,,,-5.05,-3.13
IDT-BC6,PBDB-T,10.1021/jacs.7b00566,0.92,5.63,44,2.3,,592,1.75,-5.55,-3.82,,,,-5.33,-2.92
IDT-BOC6,PBDB-T,10.1021/jacs.7b00566,1.01,17.52,54,9.6,,688,1.63,-5.51,-3.78,,,,,
IDTBR,P3HT,10.1038/nmat4797,0.82,13.9,60,6.3,,,,-5.75,-3.7,,,,-5.1,-3.2
IDTBR,PffBT4T-2DT,10.1039/C6EE02598F,1.07,15,62,9.95,,,,-5.5,-3.9,,,,-5.34,-3.7
IDT-BT-R,PTB7-Th,10.1039/C8TC00705E,1.05,14.62,59.91,9.39,,,,-5.3,-3.59,,,,,
IDTC,PBDB-T,10.1021/acsami.7b10275,0.917,16.56,61.61,9.35,,727,1.51,-5.57,-3.96,,,,,
IDTC-4Cl,PBDB-T,10.1039/C9TC00162J,0.822,19.19,60.2,9.5,,,,-5.5,-3.79,,,,-5.26,-3.63
IDTCF,FTAZ,10.1039/C9QM00314B,0.705,2.1,39.6,0.59,,,,,,,,,,
IDTCR,PTB7-Th,10.1039/C7TC04669C,1.11,11.01,49.9,6.1,603,622,1.76,-5.46,-3.67,,,,-5.24,-3.66
IDT-CR,P3HT,10.1039/D0TA09924D,0.66,2.62,49.26,0.99,598,590,1.78,-5.34,-3.44,,,,,
IDT-CT,PTB7-Th,10.1039/D0TA09924D,0.93,11.19,42.32,4.62,639,655,1.63,-5.39,-3.67,,,,,
IDT-EDOT,PBDB-T,10.1039/C8TA08410F,0.86,21.34,62,11.32,753,789,1.41,-5.43,-3.8,,,,-5.23,-3.42
IDT-FBTR,PTB7-Th,10.1021/acsami.8b04541,1.02,15.18,57.55,9.14,,,,,,,,,,
IDTI,PBDB-TF,10.1002/adma.201704051,0.993,13.01,57,7.4,,,,-5.81,-3.94,,,,-5.48,-3.64
IDTIC,PBDB-T,10.1002/adfm.201802895,0.84,12.7,56.3,5.67,,,,-5.85,-3.89,,,,,
IDT-IC,PTB7-Th,10.1039/C6EE00315J,0.83,9.53,40,3.2,646,681,1.72,-5.61,-3.88,,,,-5.22,-3.64
IDT-IC,J61,10.1039/C7TA07049G,0.88,13.7,57.3,6.95,,686,1.72,-5.6,-3.88,,,,,
IDTIDSe-T-IC,J51,10.1016/j.nanoen.2016.07.019,0.91,15.16,58,7.84,,,,-5.41,-3.81,,,,-5.29,-3.3
IDTIDT-IC,PTB7-Th,10.1039/C6EE00315J,0.94,14.49,47.5,6.48,696,721,1.53,-5.42,-3.82,,,,,
IDTN,PBDB-TF,10.1002/adma.201704051,0.94,16.58,78,12.2,,,,-5.79,-3.98,,,,,
IDTN,J71,10.1039/D0TA10953C,0.88,16.7,74.4,10.9,688,732,1.57,-5.81,-3.97,,,,-5.45,-3.32
IDT-N,PBDB-T,10.1039/C7TA06631G,0.79,15.88,71.91,9,,,,,,,,,-5.33,-3.53
IDT-N,PTB7-Th,10.1039/C7TA06631G,0.73,13.02,57.7,5.5,687,727,1.58,-5.74,-4.08,,,,-5.22,-3.64
IDTN-O,J71,10.1039/D0TA10953C,0.91,17.2,77,12.1,686,728,1.59,-5.77,-3.89,,,,,
IDT-NTI-1HH,PBDB-T,10.1021/acs.chemmater.7b03733,1.01,8.07,59,5.05,,,,-5.4,-3.8,,,,-5.3,-3.3
IDT-NTI-2EH,PBDB-T,10.1021/acs.chemmater.7b03733,0.92,14.43,69,9.07,,,,-5.4,-3.9,,,,,
IDTO,PBDB-T,10.1021/acsami.7b10275,0.943,16.25,65.41,10.02,,723,1.53,-5.52,-3.84,,,,,
IDT-OB,PBDB-T,10.1002/adma.201703527,0.88,16.18,71.1,10.12,661,697,1.66,-5.77,-3.87,,,,,
IDTOT2F,PBDB-T,10.1021/acsenergylett.8b00928,0.85,20.87,72,12.79,723,765,1.44,-5.54,-3.94,,,,,
IDTP-4F,PBDB-TF,10.1002/smll.202001942,0.872,22.28,73.7,14.2,,,,,,,,,,
IDT-PDOT,PBDB-T,10.1039/C8TA08410F,0.85,5.26,48.9,2.18,747,776,1.43,-5.39,-3.77,,,,,
IDT-R,P3HT,10.1039/D0TA09924D,0.73,3.73,51.25,1.57,576,583,1.96,-5.44,-3.53,,,,-5,-3
IDT-T,PTB7-Th,10.1039/C7TA05774A,0.84,9.54,50.9,4.08,,,,-5.41,-3.96,,,,-5.42,-3.81
IDTT(TCV)2,PTB7-Th,10.1021/acsami.6b15707,0.66,11.98,50,3.57,691,713,1.52,-5.58,-4.06,,,,,
IDTT-2BM,PTB7-Th,10.1021/acsenergylett.8b00045,0.83,15.8,63,8.4,,,,,,,,,,
IDTT-2BM,PBDTTT-C-T,10.1039/C5TA05901A,0.851,9.87,57.2,4.81,672,714,1.54,-5.5,-3.8,,,,,
IDTT2F,PBDB-T,10.1021/acsenergylett.8b00928,0.81,18.51,59,8.85,716,749,1.46,-5.57,-4.03,,,,,
IDTT2OT,PBDB-T,10.1016/j.synthmet.2021.116880,0.93,12.3,56.7,6.46,717,725,1.51,-5.2,-3.69,,,,-5.27,-3.48
IDTT2OT-2F,PBDB-T,10.1016/j.synthmet.2021.116880,0.88,17.5,65.1,10.04,731,754,1.45,-5.28,-3.83,,,,,
IDTT2OT-4F,PBDB-T,10.1016/j.synthmet.2021.116880,0.86,19.3,62.4,10.4,734,768,1.42,-5.32,-3.9,,,,,
IDTTA,PBDB-T,10.1039/C9TA11752K,0.98,15.8,69,10.8,,,,-5.81,-3.97,,,,,
IDTT-BH,J71,10.1039/C8TA00764K,0.9,17.77,69.1,11.05,710,733,1.54,-5.42,-3.86,,,,-5.4,-3.24
IDTT-BH,PBDB-T,10.1039/C8TA00764K,0.85,16.86,69.2,9.92,,,,,,,,,-5.33,-2.92
IDTT-BH,PDCBT,10.1039/C8TA00764K,0.88,17.15,68.6,10.35,,,,,,,,,-5.31,-3
IDTT-Br-2F,PBDB-T-2Cl,10.1016/j.orgel.2021.106357,0.97,17.4,66.1,11.4,,,,,,,,,-5.51,-3.71
IDTT-Br-2F,PBDB-TF,10.1016/j.orgel.2021.106357,0.94,18.4,68.7,12.1,,,1.58,-5.79,-3.99,,,,-5.47,-3.67
IDTT-C8-TIC,PBT1-C,10.1038/s41467-020-19853-z,0.88,20.3,74.6,13.7,,,,,,,,,,
IDTT-Cl-2F,PBDB-T-2Cl,10.1002/adfm.202102189,0.96,19.2,71.1,13.3,,,1.56,-5.42,-3.92,,,,,
IDTT-Cl-2F,PBDB-TF,10.1002/adfm.202102189,0.94,18.8,70.1,12.7,,,,,,,,,,
IDTT-CR,P3HT,10.1039/D0TA09924D,0.82,5.61,55.06,2.86,610,602,1.74,-5.25,-3.38,,,,,
IDTT-CT,PTB7-Th,10.1039/D0TA09924D,0.93,12.58,50.45,6.13,641,653,1.63,-5.28,-3.65,,,,,
IDTTIC,PBDB-T,10.1002/adfm.201802895,0.919,17.3,70.4,11.2,,,,-5.68,-3.84,,,,-5.33,-3.29
IDTT-M-2F,PBDB-T-2Cl,10.1002/adfm.202102189,0.99,17.3,66.8,11.3,,,1.59,-5.4,-3.87,,,,,
IDTT-M-2F,PBDB-TF,10.1002/adfm.202102189,0.97,17.4,66.1,11.6,,,,,,,,,,
IDT-T-N,PBDB-T,10.1039/C7TA06631G,0.94,14.03,56.11,7.4,,,,,,,,,,
IDT-T-N,PTB7-Th,10.1039/C7TA06631G,0.87,14.67,51.38,6.6,734,755,1.45,-5.58,-4.06,,,,,
IDTT-OB,PBDB-T,10.1002/solr.202100806,0.92,16.29,71.62,10.76,,,,-5.59,-3.87,,,,,
IDTT-OBH,J71,10.1039/C8TA00764K,0.92,14.75,61,8.02,710,733,1.57,-5.41,-3.86,,,,,
IDTT-OBH,PBDB-T,10.1039/C8TA00764K,0.87,17.46,72,10.93,,,,,,,,,,
IDTT-OBH,PDCBT,10.1039/C8TA00764K,0.91,13.97,64.8,8.24,,,,,,,,,,
IDTTP-4F,PBDB-TF,10.1002/smll.202001942,0.876,20.21,71.4,12.64,,,,,,,,,,
IDTT-R,P3HT,10.1039/D0TA09924D,0.78,0.73,48.18,0.43,590,598,1.84,-5.32,-3.49,,,,,
IDTT-T,PTB7-Th,10.1021/acsenergylett.8b00366,1.015,15.7,57,9.1,,,,-5.51,-3.51,,,,,
IDTT-T,PTB7-Th,10.1039/D0TA09924D,0.98,13.71,62.39,8.72,620,625,1.82,-5.51,-3.64,,,,-5.27,-3.55
IDTT-TBTA,PTB7-Th,10.1021/acsami.0c11828,1,13.7,64,8.77,,,1.89,-5.51,-3.72,,,1.58,-5.23,-3.52
IDT-Tz,PBDB-T,10.1039/C7TA05774A,0.88,13.67,70.8,8.52,,,,-5.62,-4.09,,,,,
IDT-Tz,PTB7-Th,10.1039/C7TA05774A,0.8,15.94,65.7,8.38,,,,,,,,,,
IDTzCR,PTB7-Th,10.1039/C7TC04669C,1.04,13.8,60.7,8.71,593,616,1.79,-5.67,-3.77,,,,,
IE-4Cl,PBDB-T,10.1021/acsami.9b10243,0.86,21.49,60,11.1,,,,,,,,,-5.28,-3.48
IE-4Cl,PBDB-TF,10.1021/acsami.9b10243,0.89,17.82,61,9.7,730,775,1.43,-5.54,-4.11,,,,-5.45,-3.65
IE-4F,PBDB-T,10.1021/acsami.9b10243,0.87,21.35,58,10.8,,,,,,,,,,
IE-4F,PBDB-TF,10.1021/acsami.9b10243,0.91,18.23,56,9.3,715,760,1.44,-5.51,-4.07,,,,,
IEIC,PffT2-FTAZ-2DT,10.1002/adma.201502775,1,12.7,62,7.3,,720,1.57,-5.42,-3.82,,620,1.91,-5.28,-3.37
IEIC,PBDTTT-E-T,10.1002/adma.201602642,0.9,11.7,47,4.9,,,,,,,,,,
IEIC,PBDB-T,10.1021/acsami.9b10243,1.02,15.05,48,7.3,,,,,,,,,,
IEIC,PBDB-TF,10.1021/acsami.9b10243,1.11,7.65,45,3.8,700,710,1.57,-5.41,-3.84,,,,,
IEIC,PTB7-Th,10.1039/C4EE03424D,0.97,13.55,48,6.31,,,1.57,-5.42,-3.82,,,,,
IEIC,BDT-2DPP,10.1039/C5TA10424F,0.9,8.24,54,4,,,,-5.42,-3.82,,626,,-5.23,-3.46
IEIC,BDTS-2DPP,10.1039/C5TA10424F,0.94,10.87,59,6.03,,,,,,,624,,-5.28,-3.49
IEICO,PBDTTT-E-T,10.1002/adma.201602642,0.82,17.7,58,8.4,,,1.34,-5.32,-3.95,,,,,
IEICO,PBDTTT-E-T,10.1002/adma.201606340,0.81,17.98,64,9.32,,,,,,,,,,
IEICO,PBDTTT-E-T,10.1021/jacs.7b01493,0.823,18.8,66.7,10.3,,,,-5.32,-3.95,,,,-5.09,-3.22
IEICO-4Cl,J52,10.1002/adma.201703080,0.7,23.8,60.7,10.1,802,887,1.23,-5.56,-4.23,,,,,
IEICO-4Cl,PBDB-T,10.1002/adma.201703080,0.744,20.8,62.5,9.67,,,,,,,,,,
IEICO-4Cl,PTB7-Th,10.1002/adma.201703080,0.727,22.8,62,10.3,,,,,,,,,,
IEICO-4F,PTB7-Th,10.1002/adma.201806616,0.7,27.2,69,13.2,,,,,,,,,,
IEICO-4F,PTB7-Th,10.1002/aenm.201903800,0.69,21.6,64,10.2,,,,,,,,,,
IEICO-4F,PTB7-Th,10.1002/aenm.202000823,0.73,20.1,68,9.9,,,,,,,,,,
IEICO-4F,J52,10.1002/anie.201610944,0.734,21.9,58.5,9.4,,,,,,,,,-5.21,-2.99
IEICO-4F,PBDB-T,10.1021/acsenergylett.8b00928,0.77,20.1,56,8.66,803,869,1.24,-5.44,-4.19,,,,,
IEICO-4F,PBDB-T,10.1039/C8TA08410F,0.77,20.83,51.5,8.29,,,,,,,,,,
IEICO-4F,PBDTTT-EFT,10.1002/anie.201610944,0.739,22.8,59.4,10,,,,,,,,,-5.24,-3.66
IEICS-4F,PTB7-Th,10.1002/aenm.201800529,0.74,20.98,67,10.3,,,1.35,-5.43,-4.08,,,,,
IFBR,PBTA-BO,10.1002/aenm.201602127,1.06,8.34,43.52,3.85,,,,-5.69,-3.64,,,,-5.31,-2.89
IFBR-d,PTzBI,10.1021/acsami.7b12902,0.99,9.4,55.9,5.28,,647,,-5.67,-3.74,,,,,
IFBR-p,PTzBI,10.1021/acsami.7b12902,1,11.6,62.3,7.44,,671,,-5.64,-3.73,,,,,
IffBR,PBTA-BO,10.1021/acs.chemmater.7b02228,1.013,11.77,52.29,6.34,,,,-5.71,-3.77,,,,-5.31,-2.89
IFIC-i-4F,PTB7-Th,10.1016/j.nanoen.2019.06.003,0.66,23.56,65,10.03,,,,-5.42,-3.91,,,,-5.2,-3.63
IHIC,PTB7-Th,10.1002/adma.201701308,0.754,19.01,68.1,9.77,,,,,,,,,,
IHIC2,FTAZ,10.1002/adma.201704713,0.775,15.7,61.2,7.45,,,,-5.69,-3.86,,,,,
IHIC-N,PTB7-Th,10.1021/acs.chemmater.7b04499,0.846,13.5,60.6,6.91,,,,-5.57,-3.8,,,,-5.2,-3.59
I-IDTBTRh,P3HT,10.1039/C8TC04608E,0.86,8.81,71,5.38,618,667,1.65,-5.42,-3.68,,,,,
i-IEICO-2Cl,J52,10.1021/acsaem.1c02608,0.886,19.51,66.7,11.45,709,727,1.57,-5.42,-3.75,,,,-5.21,-2.9
i-IEICO-4Cl,J52,10.1021/acsaem.1c02608,0.857,20.62,68.76,12.16,718,754,1.51,-5.46,-3.82,,,,,
I-ITIC,PTPDBDT,10.1039/C7QM00025A,0.95,14.5,65,8.9,,,,-5.68,-4.14,,,,,
INIC,FTAZ,10.1021/jacs.6b12755,0.957,13.51,57.9,7.7,692,706,1.57,-5.45,-3.88,,,,-5.38,-3.17
INIC1,FTAZ,10.1021/jacs.6b12755,0.929,16.63,64.3,10.1,710,720,1.56,-5.54,-3.97,,,,,
INIC2,FTAZ,10.1021/jacs.6b12755,0.903,17.56,66.8,10.8,704,728,1.52,-5.52,-3.98,,,,,
INIC3,FTAZ,10.1021/jacs.6b12755,0.857,19.44,67.4,11.5,710,744,1.48,-5.52,-4.02,,,,,
INPIC,PBDB-T,10.1002/adma.201707150,0.96,8.55,52.5,4.31,755,779,1.46,-5.36,-3.82,,,,,
INPIC-2F,PBDB-T,10.1021/acsami.0c19700,0.91,15.7,58.6,8.37,767,799,1.41,-5.4,-3.91,,,,-5.31,-3.38
INPIC-4F,PBDB-T,10.1002/adfm.201903269,0.835,18.4,63.2,9.71,769,821,1.39,-5.42,-3.94,,,,-5.33,-3.29
INPIC-4F,PBDB-T,10.1002/adma.201707150,0.85,21.61,71.5,13.13,769,821,1.39,-5.42,-3.94,,,,,
IOIC2,FTAZ,10.1002/adma.201704713,0.9,19.7,69.3,12.3,,,,-5.41,-3.78,,,,-5.38,-3.17
IOIC2,PTB7-Th,10.1021/acs.chemmater.8b01677,0.826,17.2,65.8,9.33,,,,-5.41,-3.78,,,,-5.2,-3.56
IOIC3,PTB7-Th,10.1021/acs.chemmater.8b01677,0.762,22.9,74.9,13.1,,,,-5.38,-3.84,,,,,
IOTIC-2F,PTB7-Th,10.1002/aenm.201801209,0.817,21.9,65,12.1,794,839,1.31,-5.34,-4.06,,,,-5.2,-3.61
IPIC,PBDB-T,10.1021/acsenergylett.9b00147,0.95,7.16,58.6,3.98,761,776,1.44,-5.47,-3.82,,,,-5.33,-3.29
IPIC-4Cl,PBDB-T,10.1021/acsenergylett.9b00147,0.813,22.2,74,13.4,790,855,1.32,-5.51,-3.95,,,,,
IPIC-4F,PBDB-T,10.1021/acsenergylett.9b00147,0.835,19.8,67.1,11.1,776,824,1.38,-5.54,-3.94,,,,,
IPT-2F,PBDB-T,10.1039/C9TA07634D,0.86,22.4,72.4,14,739,775,1.44,-5.51,-3.96,,,,,
IPT-2F,PBDB-T,10.1021/acsami.0c19700,0.86,22.2,73,14,739,775,1.44,-5.51,-3.96,,,,,
IPT2F-Ph,PBDB-T,10.1002/adfm.202006141,0.86,21.18,72.11,13.13,732,769,1.46,-5.57,-4,,,,,
IPT2F-Th,PBDB-T,10.1002/adfm.202006141,0.86,20.44,71.2,12.52,726,759,1.47,-5.58,-4.03,,,,,
IPT2F-TT,PBDB-T,10.1002/adfm.202006141,0.84,22.24,75.06,14.02,724,764,1.45,-5.6,-4,,,,,
IPT-4Cl,PBDB-TF,10.1039/D0TA00651C,0.883,23.18,70.37,14.4,760,819,1.39,-5.58,-4.11,,,,-5.45,-3.65
IPT-4F,PBDB-TF,10.1039/D0TA00651C,0.914,22.08,74.15,14.96,746,795,1.42,-5.57,-4.08,,,,,
IPTBO-4Cl,PBDB-TF,10.1039/D0TA00651C,0.893,23.15,72.57,15,759,817,1.39,-5.64,-4.08,,,,,
IPTBO-4F,PBDB-TF,10.1039/D0TA00651C,0.917,22.08,72.45,14.67,746,800,1.41,-5.57,-4.07,,,,,
IPTT-2F,PBDB-T,10.1039/C9TA07634D,0.874,19.7,66.2,11.4,742,766,1.42,-5.46,-4.04,,,,,
IPTTT-2F,PBDB-T,10.1039/C9TA07634D,0.894,20,69.3,12.3,746,761,1.43,-5.4,-4.07,,,,,
IT-2Cl,PBDB-TF,10.1002/adma.201800868,0.922,19.08,74.8,13.16,,720,1.55,-5.68,-3.99,,,,,
IT-2F,P2F-EHp,10.1038/s41560-018-0263-4,0.891,19.65,74.09,12.96,,,,-5.64,-4.05,,,,-5.38,-3.06
IT-4Cl,PBDB-TF,10.1002/adma.201800868,0.79,22.67,75.2,13.45,,746,1.48,-5.75,-4.09,,,,,
IT-4Cl,PBDB-TF,10.1002/aenm.201900041,0.8,21.3,74.2,12.7,,,,,,,,,,
IT-4Cl,PBDB-T-2Cl,10.1007/s11426-018-9260-2,0.81,22.01,74,13.37,,,,-5.75,-4.09,,,,-5.51,-3.71
IT-4Cl,PBDB-TF,10.1007/s11426-018-9260-2,0.78,22.25,73,12.67,,,,,,,,,-5.47,-3.67
IT-4Cl,PBFTT,10.1039/C9CP01101C,0.76,18.8,73.9,10.7,,,,-5.75,-4.06,,,,-5.47,-3.56
IT-4F,J91,10.1002/adfm.201808828,0.779,18.62,55.4,8.04,,,,,,,,,,
IT-4F,L24,10.1002/adfm.201808828,0.49,7.41,36.3,1.33,,,,-5.7,-4.2,,,,-5.43,-3.48
IT-4F,L68,10.1002/adfm.201808828,0.75,19.5,63.2,9.3,,,,,,,,,-5.51,-3.56
IT-4F,L810,10.1002/adfm.201808828,0.79,20.76,73.5,12.1,,,,,,,,,-5.57,-3.58
IT-4F,PBDB-TF,10.1002/adma.201707170,1.02,15.78,65,10.5,,,,-5.67,-4.15,,,,,
IT-4F,PBDB-T-2Cl,10.1002/adma.201800868,0.86,21.8,77,14.4,,,,,,,,,,
IT-4F,PBDB-TF,10.1002/aenm.201900041,0.87,20,74.4,12.9,,,,,,,,,,
IT-4F,PBDB-T,10.1002/aenm.201901823,0.71,20.13,70.65,10.1,,,,-5.66,-4.14,,,,-5.33,-2.92
IT-4F,PBDB-T-2Cl,10.1007/s11426-018-9260-2,0.89,20.58,78,14.29,,,,,,,,,,
IT-4F,PBDB-TF,10.1007/s11426-018-9260-2,0.86,20.8,76,13.59,,,,,,,,,,
IT-4F,PBDT-3TCO,10.1007/s11426-018-9408-7,0.88,20.94,63.68,11.77,,,,,,,,,,
IT-4F,PBDTSF-TZNT,10.1016/j.isci.2018.12.027,0.93,19.23,74.1,13.25,,,,,,,,,,
IT-4F,PBDTS-TZNT,10.1016/j.isci.2018.12.027,0.88,18.65,68.9,11.31,,,,-5.7,-3.99,,,,,
IT-4F,PDCBT-Cl,10.1016/j.joule.2020.04.014,0.89,17.2,60,9.05,,,,,,,,,,
IT-4F,PBT1-C,10.1016/j.nanoen.2019.01.039,0.79,19.03,70.5,10.9,692,725,1.53,-5.74,-4.11,611,616,1.87,-5.47,-3.46
IT-4F,PBT1-C-2Cl,10.1016/j.nanoen.2019.01.039,0.85,19.04,76,12.7,,,,,,629,629,1.85,-5.59,-3.53
IT-4F,DRTB-T-C4,10.1021/acs.chemmater.8b00287,0.909,18.27,68,11.24,,,,-5.66,-4.14,,,,-5.51,-3.34
IT-4F,J71,10.1021/acs.chemmater.8b05327,0.803,19.58,74.2,11.66,690,726,1.54,-5.63,-4.06,,,,,
IT-4F,PBDE-DFDT,10.1021/acs.chemmater.9b04971,0.865,21.83,75,14.16,,,,,,,,,-5.5,-3.56
IT-4F,PBDE-TT,10.1021/acs.chemmater.9b04971,0.883,19.34,65,11.1,,,,,,,,,-5.49,-3.52
IT-4F,PBT1Cl-Bz,10.1021/acsaem.8b01447,0.71,16.85,63.48,7.6,,,,-5.66,-4.14,581,588,1.93,-5.39,-3.57
IT-4F,PBT2Clas-Bz,10.1021/acsaem.8b01447,0.79,13.43,41.75,4.43,,,,,,569,574,1.97,-5.48,-3.56
IT-4F,PBT2Cls-Bz,10.1021/acsaem.8b01447,0.77,15.55,65.21,7.8,,,,,,580,585,1.96,-5.47,-3.58
IT-4F,PBT4Cl-Bz,10.1021/acsaem.8b01447,0.96,16.42,58.69,9.25,,,,,,571,573,2.01,-5.64,-3.57
IT-4F,PBDB-TF,10.1021/acsami.0c05172,0.858,20.2,78.9,13.7,,,,,,,,,,
IT-4F,PBDB-TF,10.1021/acsenergylett.9b01819,0.811,20.85,71.7,12.12,,,,,,615,622,1.81,-5.56,-3.75
IT-4F,PBDB-TSCl,10.1021/acsenergylett.9b01819,0.834,21.17,74.37,13.13,,,,-5.66,-4.14,608,615,1.81,-5.61,-3.8
IT-4F,PBDB-T-SF,10.1021/jacs.7b02677,0.88,20.88,71,13.1,,,,-5.66,-4.14,,,,-5.4,-3.6
IT-4F,P2,10.1021/jacs.8b02695,0.9,20.73,76,14.2,,,,,,544,548,1.93,-5.5,-3.59
IT-4F,PDTB-EF-T,10.1021/jacs.8b02695,0.9,20.73,76,14.2,,,,,,544,548,1.93,-5.5,-3.59
IT-4F,PTO2,10.1021/jacs.8b12937,0.91,21.5,75,14.7,,,,-5.66,-4.19,,,,-5.59,-3.67
IT-4F,PDCBT-2F,10.1039/C6TA07672F,0.92,18.2,71,11.9,,,,,,,,,,
IT-4F,TPD-3F,10.1039/C7TA10374C,0.911,20.25,76,13.84,,,,,,,,,,
