Molecule,Reference,A (acceptor) or D (donor),max abs solution,max abs film,opt bg,HOMO,LUMO
NFBDT,Kan_small-molecule_2017,A,703,731,1.56,-5.4,-3.83
NFBDT,Zhang_nonfullerene_2018,A,703,731,1.56,-5.43,-3.88
NFTI,Fan_a thieno_2018,A,,,,-5.46,-3.77
NIBT,Kolhe_designing_2020,A,628,660,1.63,-5.38,-3.68
NIDT,Kolhe_designing_2020,A,599,618,1.85,-5.34,-3.58
NITI-SeS,Zhou_molecular_2021,A,,,,-5.76,-3.83
NITI-Sse,Zhou_molecular_2021,A,,,,-5.76,-3.81
NITT-BF,Ming_napthalene_2021,A,675,713,1.52,-5.75,-4.15
NITT-ThCl,Ming_napthalene_2021,A,692,705,1.55,-5.71,-4.1
NITV,Kolhe_designing_2020,A,567,548,1.78,-5.4,-3.62
NNBDT,Kan_ternary_2018,A,,,,-5.46,-3.94
NOBDT,Zhang_nonfullerene_2018,A,744,781,1.39,-5.26,-3.89
NoCA-1,Zhang_side-chain_2021,A,764,822,,-5.45,-3.88
NoCA-5,Zhang_side-chain_2021,A,769,818,,-5.43,-3.83
NTIC,Yi_new_2017,A,650,694,1.67,-5.58,-3.76
NTIC-F,Yi_new_2017,A,657,712,1.66,-5.52,-3.77
NTIC-Me,Yi_new_2017,A,647,670,1.74,-5.53,-3.73
NTIC-OMe,Yi_new_2017,A,651,675,1.71,-5.53,-3.7
NTTI,Lv_influence_2020,A,,783,1.45,-5.38,-3.83
NTz-Np,Chatterjee_naphtho_2016,A,533,,1.73,-6.01,-3.6
NTz-Teh-FA,Chatterjee_fluorinated_2018,A,509,,2.13,-6.06,-3.38
o-4TBC-2F,Chen_a fully_2020,A,671,825,1.34,-5.63,-4
o-BTP-C6Ph,Chai_fine-tuning_2021,A,730,790,1.39,-5.53,-3.76
OCH3-2F,Wang_high-performance_2021,A,752,796,1.33,-5.4,-4.04
o-DOC6-2F,Hou_noncovalently_2020,A,712,744,1.51,-5.49,-3.83
OF-PCIC,Li_revealing_2018,A,660,702,1.59,-5.66,-3.86
O-IDTBCN,Khan_impact_2021,A,,712,,-5.8,-3.8
O-IDTBR,Badgujar_highly_2016,A,,,,-5.46,-3.89
O-IDTBR,Holliday_high-efficiency_2016,A,650,673,1.68,-5.58,-3.9
O-IDTBR,Khan_impact_2021,A,,,,-5.67,-3.55
O-IDTBR,Yang_a minimal_2018,A,,,,-5.51,-3.88
o-IO1,Lee_bandgap_2020,A,790,850,1.28,-5.44,-4.15
o-IO2,Lee_bandgap_2020,A,835,920,1.2,-5.41,-4.21
O-NTIC,Feng_synergistic_2018,A,650,671,1.7,-5.51,-3.67
O-NTNC,Feng_synergistic_2018,A,679,706,1.64,-5.54,-3.78
ORCN,Wu_simultaneous_2019,A,666,676,1.64,-5.37,-3.56
P,Chen_indole-based_2020,D,,,,-5.38,-3.62
P,Suman_new_2019,D,,,,-5.15,-3.58
P(NDI2OD-FT2),Jung_fluoro_2015,A,,630,1.59,-5.5,-3.91
P(NDI2OD-T2),Jung_fluoro_2015,A,,704,1.44,-5.49,-4.05
P(T4-DPP-M),Schmatz_photovoltaic_2019,D,,,1.4,-5.4,-4
P(T4-iI-M),Schmatz_photovoltaic_2019,D,,,1.55,-5.5,-3.9
P(T4-TPD-M),Schmatz_photovoltaic_2019,D,,,1.84,-5.6,-3.8
P1_mishra,mishra_unprecedented_2017,D,532,588,1.6,-5.1,-3.48
P1_yang,Yang_quinoxaline_2018,D,561,563,1.87,-5.17,-2.9
P104,Keshtov_synthesis_2020,D,651,657,1.59,-5.29,-3.68
P105,Keshtov_synthesis_2020,D,647,652,1.66,-5.38,-3.62
P2,Li_a wide_2018,D,544,548,1.93,-5.5,-3.59
P2_yang,Yang_quinoxaline_2018,D,591,594,1.9,-5.33,-2.94
P2F-EH,Fan_fine-tuning_2018,D,,,,-5.36,-3.04
P2F-Ehp,Fan_achieving_2019,D,,,,-5.46,-3.13
P2F-EHp,Fan_fine-tuning_2018,D,,,,-5.38,-3.06
P2F-EO,Fan_fine-tuning_2018,D,,,,-5.41,-3.08
P3_yang,Yang_quinoxaline_2018,D,592,593,1.92,-5.54,-2.98
P3HT,Ahn_simple_2019,D,,,,-5.14,-3.14
P3HT,Baran_reducing_2017,D,,,,-5.1,-3.2
P3HT,Chatterjee_naphtho_2016,D,,,,-4.72,-2.81
P3HT,Do_9-fluorenone_2017,D,,,,-5.2,-3.2
P3HT,Do_molecular_2017,D,,,,-5.2,-3.2
P3HT,Fang_narrow_2013,D,,,,-5,-3
P3HT,Gupta_H-shaped_2017,D,,,,-5.2,-3.2
P3HT,Kim_rhodanine_2014,D,,,,-5.2,-3.2
P3HT,Lan_naphthalimide_2019,D,,,,-5,-3.1
P3HT,Lee_stable_2019,D,,,,-5.14,-3.14
P3HT,Lin_a twisted_2014,D,,,,-4.76,-2.74
P3HT,Liu_ring-locking_2021,D,,,,-5,-3
P3HT,Lu_impact_2013,D,450,522,,-5,-3
P3HT,Pho_decacyclene_2013,D,,,,-5.2,-3.3
P3HT,Qin_highly_2016,D,,,,-5.06,-2.76
P3HT,Rao_an efficient_2018,D,,,,-5.2,-3.2
P3HT,Raynor_a non-fullerene_2016,D,,,,-5.2,-3.2
P3HT,Ren_non-fullerene_2011,D,,,,-4.9,-3.1
P3HT,Schwenn_small_2010,D,,,,-4.7,-2.7
P3HT,Shi_solution_2015,D,,,,-4.76,-2.74
P3HT,Wang_enhancing_2019,D,,,,-5,-3.1
P3HT,Wang_structural_2021,D,,,,-5,-3.1
P3HT,Wu_simultaneous_2019,D,,,,-5,-2.9
P3HT,Xiao_effects_2020,D,,,,-5,-3.1
P3HT,Xiao_non-fullerne_2017,D,,,,-5,-3.1
P3HT,Xiao_P3HT-based_2017,D,,,,-5,-3.1
P3HT,Xiao_quinoxaline_2018,D,,,,-5,-3.1
P3HT,Xiao_side_2020,D,,,,-5,-3.1
P3HT,Yang_A-DAD-A_2020,D,,,,-5,-3.1
P3HT,Ye_combination_2018,D,,,,-5,-3.1
P3HT,Zhang_A2-A1-D-A1-A2_2018,D,,,,-5,-3.1
P3HT,Zhang_cooperatively_2014,D,,,,-5,-3
P3HT,Zhang_fluorene_2015,D,,,,-4.76,-2.74
P3HT,Zhou_a non-fullerene_2012,D,,,,-4.7,-2.8
P4_yang,Yang_quinoxaline_2018,D,576,577,2,-5.68,-3.13
P-4FP,Zheng_benzo_2021,D,,,,-5.54,-3.61
P5T,Ma_miscibility_2021,D,,,,-5.41,-3.48
P5T-2F,Ma_miscibility_2021,D,,,,-5.51,-3.56
PB24-TTDC,An_A1-A2_2019,D,,556,1.91,-5.36,-3.58
PB2T,Liu_molecular_2017,D,413,416,2.24,-5.63,-3.63
PB3T,Liu_molecular_2017,D,534,540,1.96,-5.39,-3.37
PB68-3TDC,An_A1-A2_2019,D,,555,1.92,-5.41,-3.57
PBB,Chao_enhanced_2020,D,512,551,1.95,-5.54,-3.59
PBB-Cl,Wen_high-efficiency_2020,D,528,580,2,-5.64,-3.64
PBB-F,Wen_high-efficiency_2020,D,529,579,2,-5.57,-3.57
PBB-H,Wen_high-efficiency_2020,D,572,580,2,-5.47,-3.47
PBBSB,Yuan_improved_2018,D,,,,-5.19,-3.63
PBBSe-Cl,Chao_enhanced_2020,D,643,645,1.73,-5.36,-3.63
PBBSe-H,Chao_enhanced_2020,D,651,657,1.71,-5.16,-3.45
PBCIT,Chao_chlorination_2018,D,691,695,1.64,-5.47,-3.61
PBCT-2F,Yuan_a donor_2021,D,,,,-5.58,-3.66
PBDB-ST,Zhang_effect_2017,D,,,,-5.37,-3.59
PBDB-T,Aldrich_enhancing_2017,D,,,,-5.52,-3.68
PBDB-T,An_energy_2018,D,,,,-5.31,-3.51
PBDB-T,Cao_asymmetric_2021,D,,,,-5.23,-3.18
PBDB-T,Chang_fine-tuning_2018,D,,,,-5.33,-2.92
PBDB-T,Chang_isomerically_2019,D,,,,-5.36,-3.54
PBDB-T,Chang_new_2018,D,,,,-5.36,-3.54
PBDB-T,Chen_a fully_2020,D,,,,-5.23,-3.42
PBDB-T,Cheng_efficient_2019,D,,,,-5.3,-3.5
PBDB-T,Cui_fine-tuned_2017,D,,,,-5.33,-3.53
PBDB-T,Fan_overcoming_2019,D,,,,-5.34,-3.32
PBDB-T,Fei_an alkylated_2018,D,,,,-5.33,-3.29
PBDB-T,Feng_an A-D-A_2017,D,,,,-5.33,-2.92
PBDB-T,Feng_molecular_2019,D,,,,-5.33,-3.29
PBDB-T,Feng_new_2019,D,,,,-5.28,-3.48
PBDB-T,Feng_regulating_2020,D,,,,-5.33,-3.53
PBDB-T,Feng_synergistic_2018,D,,,,-5.33,-2.92
PBDB-T,Firdaus_novel_2020,D,,,,-5.05,-3.13
PBDB-T,Geng_nonfullerene_2019,D,,,,-5.33,-3.29
PBDB-T,Geng_non-fullerene_2019,D,,,,-5.33,-3.53
PBDB-T,Hamonnet_bis(napthothiophene)_2017,D,,,,-5.3,-3.3
PBDB-T,He_near-infrared_2020,D,,,,-5.33,-3.53
PBDB-T,Hong_investigating_2019,D,,,,-5.28,-3.48
PBDB-T,Hou_noncovalently_2020,D,,,,-5.23,-3.42
PBDB-T,Hu_axisymmetric_2020,D,,,,-5.28,-3.48
PBDB-T,Huang_highly_2018,D,,,,-5.33,-3.53
PBDB-T,Jia_14.4%_2020,D,,,,-5.38,-3.5
PBDB-T,Jiang_the influence_2018,D,,,,-5.23,-3.42
PBDB-T,Kan_small-molecule_2017,D,,,,-5.33,-2.92
PBDB-T,Kan_ternary_2018,D,,,,-5.26,-3.63
PBDB-T,Kim_alkylated_2020,D,623,629,1.82,-5.29,-3.43
PBDB-T,Kim_synthesis_2019,D,,,,-5.2,-3.43
PBDB-T,Kim_synthesis_2021,D,,,,-5.27,-3.48
PBDB-T,Kolhe_designing_2020,D,,,,-5.18,-3.37
PBDB-T,Laventure_a tetrachlorinated_2018,D,,,,-5.2,-3
PBDB-T,Li_a simple_2019,D,,,,-5.28,-3.48
PBDB-T,Li_an unfused-core_2018,D,,,,-5.33,-3.53
PBDB-T,Li_concurrently_2021,D,,,,-5.33,-3.53
PBDB-T,Li_easily_2021,D,,,,-5.42,-3.55
PBDB-T,Li_energy-level_2016,D,,,,-5.33,-3.53
PBDB-T,Li_near-infrared_2019,D,,,,-5.33,-3.53
PBDB-T,Li_non-fullerene_2017,D,,,,-5.33,-3.53
PBDB-T,Li_regulating_2021,D,,,,-5.33,-3.51
PBDB-T,Li_systematic_2021,D,,,,-5.38,-3.5
PBDB-T,Li_ternary_2021,D,,,,-5.21,-3.41
PBDB-T,Li_toward_2020,D,,,,-5.33,-2.92
PBDB-T,Li_tuning_2019,D,,,,-5.21,-3.41
PBDB-T,Liang_development_2021,D,,,,-5.29,-3.41
PBDB-T,Liang_near-infrared_2018,D,,,,-5.33,-2.92
PBDB-T,Lin_facile_2016,D,,,,-5.36,-3.43
PBDB-T,Liu_design_2018,D,,,,-5.38,-3.53
PBDB-T,Liu_exploiting_2017,D,,,,-5.33,-2.92
PBDB-T,Luo_a new_2020,D,622,623,1.86,-5.43,-3.42
PBDB-T,Luo_semitransparent_2019,D,,,,-5.33,-3.53
PBDB-T,Ma_dodecacyclic_2021,D,,,,-5.33,-3.53
PBDB-T,Ma_ladder-type_2017,D,,,,-5.33,-2.92
PBDB-T,Ma_non-fullerene_2021,D,,,,-5.33,-3.53
PBDB-T,Pang_nonfused_2020,D,,,,-5.31,-3.38
PBDB-T,Qin_enhanced_2019,D,,,,-5.33,-3.53
PBDB-T,Qin_reduced_2019,D,,,,-5.33,-2.92
PBDB-T,Qin_triplet_2020,D,,,,-5.43,-3.63
PBDB-T,Qin_tuning_2019,D,,,,-5.38,-3.45
PBDB-T,Qiu_a new_2017,D,,,,-5.33,-2.92
PBDB-T,Qu_multiple_2019,D,,,,-5.21,-3.41
PBDB-T,Raju_positional_2021,D,,,,-5.31,-3.44
PBDB-T,Shao_A-DD-A_2021,D,,,,-5.25,-3.48
PBDB-T,Song_a highly_2018,D,,,,-5.33,-3.29
PBDB-T,song_fused-heterocycle_2022,D,,,,-5.43,-3.43
PBDB-T,Song_synergetic_2021,D,,,,-5.31,-3.38
PBDB-T,Tang_low-bandgap_2020,D,,,,-5.36,-3.44
PBDB-T,Wang_a halogenation_2018,D,,,,-5.18,-3.38
PBDB-T,Wang_highly_2021,D,,,,-5.33,-3.48
PBDB-T,Wang_high-performance_2021,D,,,,-5.2,-3.44
PBDB-T,Wang_near_2021,D,,,,-5.33,-2.92
PBDB-T,Wang_nonacyclic_2019,D,,,,-5.28,-3.48
PBDB-T,Wang_rational_2019,D,,,,-5.39,-3.48
PBDB-T,Wang_simple_2019,D,,,,-5.18,-3.38
PBDB-T,Wang_small_2020,D,,,,-5.23,-3.42
PBDB-T,Wu_a designed_2017,D,,,,-5.33,-3.16
PBDB-T,Wu_effects_2020,D,,,,-5.26,-3.16
PBDB-T,Xu_highly_2017,D,,,,-5.33,-2.92
PBDB-T,Yang_molecular_2018,D,,,,-5.21,-3.41
PBDB-T,Yao_efficient_2019,D,,,,-5.23,-3.18
PBDB-T,Ye_synergistic_2021,D,,,,-5.33,-3.53
PBDB-T,Yi_a cyclopentadithiophene_2019,D,,,,-5.26,-3.63
PBDB-T,Yi_new_2017,D,,,,-5.33,-2.92
PBDB-T,Yi_small_2019,D,,,,-5.26,-3.63
PBDB-T,Yoon_effects_2020,D,,,,-5.31,-3.63
PBDB-T,Yuan_enabling_2019,D,,,,-5.39,-3.5
PBDB-T,Yuan_fused_2019,D,,,,-5.38,-3.5
PBDB-T,Yuan_near-infrared_2021,D,,,,-5.38,-3.33
PBDB-T,Yue_design_2018,D,,,,-5.33,-3.53
PBDB-T,Zeng_significantly_2020,D,,,,-5.3,-2.86
PBDB-T,Zhang_A2-D-A1-D-A1_2020,D,,,,-5.23,-3.18
PBDB-T,Zhang_bromination_2021,D,,,,-5.28,-3.48
PBDB-T,Zhang_energy-level_2017,D,,,,-5.26,-3.46
PBDB-T,Zhang_nonfullerene_2018,D,,,,-5.33,-3.53
PBDB-T,Zhang_utilizing_2021,D,,,,-5.26,-3.46
PBDB-T,Zhao_Fullerene-Free_2016,D,,,,-5.3,-2.92
PBDB-T,Zhou_introducing_2021,D,,,,-5.42,-3.5
PBDB-T,Zhou_molecular_2021,D,,,,-5.33,-3.53
PBDB-T,Zou_optically_2021,D,,,,-4.9,-3.03
PBDB-T-2Cl,Cai_an asymmetry_2022,D,,,,-5.51,-3.71
PBDB-T-2Cl,Ma_improving_2020,D,,,,-5.52,-3.57
PBDB-T-2Cl,Pang_nonfused_2020,D,,,,-5.63,-3.59
PBDB-T-2Cl,Su_elucidating_2021,D,,,,-5.52,-3.57
PBDB-T-2Cl,Zhang_fluorination_2018,D,,,,-5.51,-3.71
PBDB-T-2Cl,Zou_optically_2021,D,,,,-5.24,-3.34
PBDB-T-2Cl,Fan_overcoming_2019,D,,,,-5.52,-3.57
PBDB-T-4Cl,Zou_optically_2021,D,,,,-5.38,-3.47
PBDB-TF,An_ternary_2019,D,,,,-5.45,-3.65
PBDB-TF,Chen_a chlorinated_2020,D,,,,-5.56,-3.5
PBDB-TF,Liu_achieving high performance_2019,D,,,,-5.45,-3.65
PBDB-TF,Wang_nonacyclic_2019,D,,,,-5.45,-3.65
PBDB-TF,Aldrich_enhancing_2017,D,,,,-5.66,-3.81
PBDB-TF,Aldrich_fluorination_2019,D,,,,-5.66,-3.81
PBDB-TF,Cai_an asymmetric_2020,D,,,,-5.43,-3.42
PBDB-TF,Cai_an asymmetry_2022,D,,,,-5.47,-3.67
PBDB-TF,Cai_enhancing_2020,D,,,,-5.5,-3.6
PBDB-TF,Cao_a new_2020,D,,,,-5.52,-3.58
PBDB-TF,Chai_enahnced_2020,D,,,,-5.5,-3.55
PBDB-TF,Chen_17.1%_2021,D,,,,-5.45,-3.64
PBDB-TF,Chen_alkoxy_2021,D,,,,-5.6,-3.51
PBDB-TF,Chen_high-performance_2021,D,,,,-5.45,-3.64
PBDB-TF,Cui_over_2019,D,,,,-5.45,-3.64
PBDB-TF,Ding_boosting_2021,D,,,,-5.5,-3.61
PBDB-TF,Ding_selenophene_2022,D,,,,-5.45,-3.64
PBDB-TF,Fan_10.3%_2020,D,,,,-5.5,-3.61
PBDB-TF,Fan_high-performance_2018,D,,,,-5.5,-3.61
PBDB-TF,Fan_mechanically_2020,D,,,,-5.5,-3.61
PBDB-TF,Feng_new_2019,D,,,,-5.45,-3.65
PBDB-TF,Guo_asymmetrically_2020,D,,,,-5.5,-3.63
PBDB-TF,Hong_eco-compatible_2019,D,,,,-5.45,-3.64
PBDB-TF,Hong_investigating_2019,D,,,,-5.45,-3.65
PBDB-TF,Hu_axisymmetric_2020,D,,,,-5.45,-3.65
PBDB-TF,Jia_isomeric_2021,D,,,,-5.45,-3.65
PBDB-TF,Ke_the rational_2020,D,,,,-5.5,-3.61
PBDB-TF,Lai_push_2021,D,,,,-5.38,-3.63
PBDB-TF,Li_a high-efficiency_2018,D,,,,-5.54,-3.65
PBDB-TF,Li_a simple_2019,D,,,,-5.48,-3.64
PBDB-TF,Li_asymmetric_2020,D,,,,-5.48,-3.64
PBDB-TF,Li_design_2017,D,,,,-5.48,-3.64
PBDB-TF,Li_novel_2020,D,,,,-5.45,-3.65
PBDB-TF,Li_revealing_2018,D,,,,-5.48,-3.64
PBDB-TF,Li_roles_2020,D,,,,-5.54,-3.65
PBDB-TF,Li_structural_2020,D,,,,-5.54,-3.65
PBDB-TF,Li_systematic_2021,D,,,,-5.48,-3.64
PBDB-TF,Li_toward_2020,D,,,,-5.5,-3.61
PBDB-TF,Li_unveiling_2021,D,,,,-5.48,-3.64
PBDB-TF,Lin_a non-fullerene_2020,D,,,,-5.55,-3.7
PBDB-TF,Lin_noncovalently_2021,D,,,,-5.5,-3.63
PBDB-TF,Liu_15%_2019,D,,,,-5.45,-3.65
PBDB-TF,Luo_electron-deficient_2021,D,,,,-5.57,-3.64
PBDB-TF,Luo_semitransparent_2019,D,,,,-5.45,-3.65
PBDB-TF,Ma_adding_2020,D,,,,-5.5,-3.61
PBDB-TF,Ma_control_2020,D,,,,-5.5,-3.6
PBDB-TF,Ma_improving_2020,D,,,,-5.5,-3.61
PBDB-TF,Ma_ladder-type_2020,D,,,,-5.5,-3.6
PBDB-TF,Meng_11.2%_2019,D,,,,-5.5,-3.61
PBDB-TF,Meng_structural_2021,D,,,,-5.45,-3.65
PBDB-TF,Ming_napthalene_2021,D,,,,-5.45,-3.65
PBDB-TF,Mo_effects_2021,D,,,,-5.45,-3.65
PBDB-TF,Park_high-performance_2020,D,615,622,1.81,-5.56,-3.75
PBDB-TF,Song_over_2021,D,,,,-5.5,-3.6
PBDB-TF,Sun_fused-ring_2021,D,,,,-5.5,-3.61
PBDB-TF,Swick_closely_2018,D,,,,-5.58,-3.73
PBDB-TF,Wang_alkyl_2021,D,,,,-5.47,-3.58
PBDB-TF,Wang_bromination_2020,D,,,,-5.45,-3.65
PBDB-TF,Wang_rational_2019,D,,,,-5.5,-3.5
PBDB-TF,Wang_selenopheno_2018,D,,,,-5.45,-3.65
PBDB-TF,Wu_a ligand-free_2021,D,,,,-5.54,-3.68
PBDB-TF,Wu_all-polymer_2019,D,,,,-5.5,-3.61
PBDB-TF,Xia_fine-tuning_2021,D,,,,-5.52,-3.55
PBDB-TF,Xie_16.5%_2020,D,,,,-5.47,-3.59
PBDB-TF,Xu_organic_2021,D,,,,-5.45,-3.64
PBDB-TF,Yang_molecular engineering_2020,D,,,,-5.45,-3.65
PBDB-TF,Yao_all-polymer_2020,D,,,,-5.54,-3.65
PBDB-TF,Yao_efficient_2019,D,,,,-5.54,-3.65
PBDB-TF,Yin_boosting_2021,D,,,,-5.52,-3.66
PBDB-TF,Yu_simple_2019,D,,,,-5.47,-3.6
PBDB-TF,Yu_tailoring_2020,D,,,,-5.52,-3.55
PBDB-TF,Yuan_a donor_2021,D,,,,-5.54,-3.7
PBDB-TF,Zhan_over_2020,D,,,,-5.48,-3.64
PBDB-TF,Zhang_a disorder-free_2020,D,,,,-5.49,-3.6
PBDB-TF,Zhang_brominated_2021,D,,615,1.79,-5.56,-3.64
PBDB-TF,Zhang_chlorinated_2019,D,,,,-5.4,-3.64
PBDB-TF,Zhang_designing_2021,D,,,,-5.5,-3.61
PBDB-TF,Zhang_fluorinated_2021,D,,,,-5.56,-3.5
PBDB-TF,Zhang_fluorination_2018,D,,,,-5.47,-3.67
PBDB-TF,Zhang_preparation_2020,D,,,,-5.45,-3.57
PBDB-TF,Zhang_utilizing_2021,D,,,,-5.52,-3.49
PBDB-TF,Zhao_fine-tuning_2020,D,,,,-5.56,-3.5
PBDB-TF,Zhao_highly_2021,D,,,,-5.5,-3.61
PBDB-TF,Zhou_subtle_2019,D,,,,-5.57,-3.64
PBDB-TF,Fan_overcoming_2019,D,,,,-5.5,-3.61
PBDB-TF,Chen_asymmetric_2021,D,,,,-5.6,-3.51
PBDB-TF,Yang_a synergistic_2021,D,,,,-5.57,-3.73
PBDB-TSCl,Park_high-performance_2020,D,608,615,1.81,-5.61,-3.8
PBDB-T-SF,Kan_a chlorinated_2018,D,,,,-5.42,-3.64
PBDB-T-SF,Zhao_molecular_2017,D,,,,-5.4,-3.6
PBDE-DFDT,Li_influence_2020,D,,,,-5.5,-3.56
PBDE-TT,Li_influence_2020,D,,,,-5.49,-3.52
PBDS-TZ,Xu_a novel_2019,D,,,,-5.41,-3.46
PBDT-DTN,Yang_investigation_2017,D,538,572,1.84,-5.37,-3.53
PBDTNO-BDD,Huang_significantly_2018,D,,,,-5.27,-3.44
PBDT-NQx,Yu_wide_2017,D,624,632,1.8,-5.24,-3.42
PBDTNS-BDD,Huang_significantly_2018,D,,,,-5.35,-3.54
PBDT-S-2TC,An_nonhalogen_2018,D,,,,-5.47,-3.58
PBDTS-DTBTO,Yao_a wide_2016,D,,,,-5.24,-3.6
PBDT-Se-TAZ,Li_highly_2018,D,583,597,1.92,-5.23,-3.43
PBDTSF-TZNT,Feng_low-energy_2019,D,,,,-5.45,-3.41
PBDTS-NQx,Yu_wide_2017,D,628,636,1.81,-5.31,-3.46
PBDTS-Se-TAZ,Li_highly_2018,D,592,602,1.9,-5.29,-3.52
PBDTS-TDZ,Xu_realizing_2018,D,,,,-5.39,-2.8
PBDTS-TZNT,Feng_low-energy_2019,D,,,,-5.39,-3.3
PBDTTAZ-NaPh,Liu_an effective_2018,D,,,,-5.44,-3.49
PBDT-TDZ,Xu_realizing_2018,D,,,,-5.35,-2.78
PBDTTPD,Pho_decacyclene_2013,D,,,,-5.7,-3.7
PBDTTS-TTffBT,Lee_high-performance_2016,D,,,,-5.45,-3.69
PBDTTT-EFT,Yao_design_2017,D,,,,-5.24,-3.66
PBDTTT-E-T,Cui_fine-tuned_2017,D,,,,-5.09,-3.22
PBDTT-TT-F,Jung_fluoro_2015,D,,,,-5.3,-3.6
PBFSF,Yuan_improved_2018,D,,,,-5.27,-3.72
PBF-SF,Yang_a new_2018,D,,,,-5.46,-3.58
PBFTT,Su_efficient_2019,D,,,,-5.47,-3.56
PBFZ-OP,Li_efficient_2017,D,,,,-5.33,-3.01
PBI,Sharma_synthesis_2012,A,,,,-5.8,-3.6
PBiTPD,Zhao_bithieno_2020,D,610,630,1.78,-5.2,-3.45
PBN-S,Wu_a new_2019,D,,,,-5.48,-3.52
PBPD-Th,Fan_high-performance nonfullerene_2017,D,,,,-5.42,-3.36
PBQx-TF,Cui_single-junction_2021,D,,,,-5.41,-2.82
PBT1-C,Li_high-performance_2019,D,,,,-5.43,-3.36
PBT1-C,Song_extension_2018,D,,,,-5.43,-3.36
PBT1-C,Ye_insertion_2019,D,611,616,1.87,-5.47,-3.46
PBT1-C-2Cl,Ye_insertion_2019,D,629,629,1.85,-5.59,-3.53
PBT1Cl-Bz,Chao_multichloro_2018,D,581,588,1.93,-5.39,-3.57
PBT1-EH,Xie_a novel_2017,D,,,,-5.43,-3.43
PBT2Clas-Bz,Chao_multichloro_2018,D,569,574,1.97,-5.48,-3.56
PBT2Cls-Bz,Chao_multichloro_2018,D,580,585,1.96,-5.47,-3.58
PBT4Cl-Bz,Chao_multichloro_2018,D,571,573,2.01,-5.64,-3.57
PBT7-Th,Chao_chlorination_2018,D,701,705,1.61,-5.27,-3.48
PBTA-BO,Fan_improved_2017,D,,,,-5.31,-2.89
PBTA-BO,Zhong_enhanced_2017,D,,,,-5.31,-2.89
PBTA-PS,Li_high-efficiency_2019,D,,,,-5.34,-3.4
PBTA-PSF,Li_high-efficiency_2019,D,,,,-5.52,-3.54
PBTB-TF,Gao_an asymmetrical_2020,D,,,,-5.45,-3.64
PBTB-TF,Gao_asymmetric_2021,D,,,,-5.47,-3.62
PBTCl,Wang_simultaneous_2017,D,,,,-5.43,-3.55
PBT-Cl,Dong_towards_2019,D,,,,-5.51,-3.6
PBT-F,Dong_towards_2019,D,,,,-5.39,-3.65
PBT-F,Yang_a new_2018,D,,,,-5.39,-3.65
PBTIBDTT,Ouyang_improving_2020,D,,,,-5.47,-3.6
p-BTP-C6Ph,Chai_fine-tuning_2021,A,728,805,1.36,-5.59,-3.85
PBT-S-TTz,Zhao_efficient_2016,D,597,597,1.95,-5.45,-3.5
PBT-TTz,Zhao_efficient_2016,D,589,589,1.95,-5.41,-3.46
PBZ,Fan_high-performance Non-Fullerene_2017,D,,,,-5.18,-3.22
PBZ,Su_nonhalogen_2019,D,,,,-5.18,-3.22
PBZ1,Li_a trifluoromethyl_2018,D,,,,-5.27,-3.06
PBZ-Cl,Su_nonhalogen_2019,D,,,,-5.39,-3.41
PBZ-ClSi,Su_nonhalogen_2019,D,,,,-5.56,-3.5
PBZ-m-CF3,Li_a trifluoromethyl_2018,D,,,,-5.49,-3.22
PCDTBT,Pho_decacyclene_2013,D,,,,-5.5,-3.6
PCE10-2Cl,Huang_narrow_2021,D,,,,-5.5,-3.93
PCE10-2F,Huang_narrow_2021,D,,,,-5.47,-3.9
PCE10-SF,Huang_narrow_2021,D,,,,-5.53,-3.76
P-CIT,Zheng_benzo_2021,D,,,,-5.5,-3.55
PDBT-2Cl,Huang_significant_2019,D,562,554,1.92,-5.49,-3.59
PDBT-2F,Huang_significant_2019,D,576,579,1.82,-5.43,-3.61
PDBT-Cl,Huang_significant_2019,D,583,583,1.83,-5.41,-3.56
PDBT-F,Huang_significant_2019,D,577,584,1.81,-5.39,-3.57
PDBT-T1,Lin_high-performance_2016,D,,,,-5.36,-3.43
PDCBT,Chang_fine-tuning_2018,D,,,,-5.31,-3
PDCBT,Feng_synergistic_2018,D,,,,-5.31,-3
PDCBT,Qin_highly_2016,D,,,,-5.31,-3
PDCBT,Wang_carboxylate_2019,D,483,600,1.9,-5.2,-2.9
PDCBT-2Cl,Wang_carboxylate_2019,D,486,585,1.95,-5.44,-3
PDCBT-2F,Wang_carboxylate_2019,D,501,592,1.92,-5.4,-3.03
PDCBT-2F,Zhang_Fullerene-free_2016,D,,,,-5.59,-3.69
PDCBT-Cl,Wang_carboxylate_2019,D,491,599,1.91,-5.34,-3.01
PDCBT-F,Wang_carboxylate_2019,D,501,594,1.93,-5.32,-2.98
PDCPDT-BC,Chang_isomerically_2019,A,680,717,1.53,-5.4,-3.85
PD-dIDTC6,Zhang_designing_2021,A,681,681,1.65,-5.51,-3.89
p-DOC6-2F,Hou_noncovalently_2020,A,742,821,1.37,-5.47,-3.79
PDTB-EF-T,Li_a wide_2018,D,544,548,1.93,-5.5,-3.59
PDTF-TZNT,Tang_naphthobistriazole_2018,D,597,617,1.84,-5.24,-3.23
PDTH-TZNT,Tang_naphthobistriazole_2018,D,527,541,1.94,-5.16,-3.1
PDTSBT,Pho_decacyclene_2013,D,,,,-5.3,-3.5
