,AorD,HOMO,LUMO,optbg,wavelength_film,wavelength_soln,sTDDFT_HOMO,sTDDFT_LUMO,sTDDFT_optbg,sTDDFT_max_abs,sTDDFT_total_mins,sTDA_HOMO,sTDA_LUMO,sTDA_optbg,sTDA_max_abs,sTDA_total_mins
J61,D,-5.32,-3.07,1.93,600,,,,,,,,,,,
TIDT-BT-R2,A,-5.25,-3.65,,604,,,,,,,,,,,
PffT2-FTAZ-2DT,D,-5.28,-3.37,1.91,620,,,,,,,,,,,
PTBB-p,D,-5.41,-3.49,1.84,623,,,,,,,,,,,
BDTS-2DPP,D,-5.28,-3.49,,624,,,,,,,,,,,
BDT-2DPP,D,-5.23,-3.46,,626,,,,,,,,,,,
P(NDI2OD-FT2),A,-5.5,-3.91,1.59,630,,,,,,,,,,,
IDT-2BR,A,-5.52,-3.69,,636,,,,,,,,,,,
IFBR-d,A,-5.67,-3.74,,647,,,,,,,,,,,
PTBB-o,D,-5.52,-3.37,1.89,656,,,,,,,,,,,
IFBR-p,A,-5.64,-3.73,,671,,,,,,,,,,,
DF-TCIC,A,-5.37,-3.76,1.46,686,,,,,,,,,,,
IDT-BOC6,A,-5.51,-3.78,1.63,688,,,,,,,,,,,
T-EHPPD-T-EHBDT,D,-5.47,-3.68,1.79,691,,,,,,,,,,,
IDT-4CN,A,-5.45,-3.95,,698,,,,,,,,,,,
P(NDI2OD-T2),A,-5.49,-4.05,1.44,704,,,,,,,,,,,
PTB7-Th,D,-5.21,-3.6,1.58,705,,,,,,,,,,,
HF-TCIC,A,-5.43,-3.83,1.44,706,,,,,,,,,,,
ITTC,A,-5.49,-3.85,1.61,707,,,,,,,,,,,
IT-IC,A,-5.58,-3.88,1.59,709,,,,,,,,,,,
IT-BT-CN,A,-5.53,-3.96,1.57,712,,,,,,,,,,,
O-IDTBCN,A,-5.8,-3.8,,712,,,,,,,,,,,
IT-2Cl,A,-5.68,-3.99,1.55,720,,,,,,,,,,,
IDTO,A,-5.52,-3.84,1.53,723,,,,,,,,,,,
IDTC,A,-5.57,-3.96,1.51,727,,,,,,,,,,,
BDT-IC,A,-5.51,-3.9,1.53,739,,,,,,,,,,,
SJ-IC,A,-5.61,-3.94,1.49,743,,,,,,,,,,,
IT-4Cl,A,-5.75,-4.09,1.48,746,,,,,,,,,,,
BID-4F,A,-5.69,-3.73,1.53,749,,,,,,,,,,,
IT-BN-ICN,A,-5.59,-4.08,1.51,750,,,,,,,,,,,
NTTI,A,-5.38,-3.83,1.45,783,,,,,,,,,,,
PY5T,A,-5.71,-3.76,,792,,,,,,,,,,,
BZIC-2Br,A,-5.85,-3.92,1.4,807,,,,,,,,,,,
PFA1,A,-5.74,-3.84,1.41,815,,,,,,,,,,,
Y9-2Br,A,-5.53,-3.64,1.32,855,,,,,,,,,,,
SSTI,A,-5.71,-4.24,0.98,866,,,,,,,,,,,
Coi8DFIC,A,-5.51,-4.04,1.26,,,,,,,,,,,,
ATT-2,A,-5.5,-3.9,1.32,,,,,,,,,,,,
IEICO,A,-5.32,-3.95,1.34,,,,,,,,,,,,
IEICS-4F,A,-5.43,-4.08,1.35,,,,,,,,,,,,
6TIC,A,-5.21,-3.83,1.37,,,,,,,,,,,,
4TIC,A,-5.28,-3.87,1.4,,,,,,,,,,,,
P(T4-DPP-M),D,-5.4,-4,1.4,,,,,,,,,,,,
TPQ-Cl,A,-5.64,-4.11,1.4,,,,,,,,,,,,
BT-IC,A,-5.32,-3.85,1.43,,,-7.05,-1.97,2.32,535.1,22.8,-7.05,-1.97,2.35,526.7,30.733
TPQ-F,A,-5.67,-3.91,1.43,,,,,,,,,,,,
PYTT-3,A,-5.76,-3.88,1.44,,,,,,,,,,,,
BZIC,A,-5.42,-3.88,1.45,,,,,,,,,,,,
PYTT-1,A,-5.66,-3.82,1.49,,,,,,,,,,,,
PYTT-2,A,-5.73,-3.83,1.49,,,,,,,,,,,,
IDSe-T-IC,A,-5.45,-3.79,1.52,,,,,,,,,,,,
CRIC,A,-5.44,-3.82,1.53,,,,,,,,,,,,
ATT-1,A,-5.5,-3.63,1.54,,,,,,,,,,,,
P(T4-iI-M),D,-5.5,-3.9,1.55,,,,,,,,,,,,
IDTT-Cl-2F,A,-5.42,-3.92,1.56,,,,,,,,,,,,
IDTT-Br-2F,A,-5.79,-3.99,1.58,,,,,,,,,,,,
m-ITIC,A,-5.52,-3.82,1.58,,,,,,,,,,,,
IDTT-M-2F,A,-5.4,-3.87,1.59,,,,,,,,,,,,
IDT6CN-M,A,-5.6,-3.87,1.6,,,,,,,,,,,,
IT-M,A,-5.58,-3.98,1.6,,,,,,,,,,,,
IDT-2BR1,A,-5.37,-3.67,1.61,,,,,,,,,,,,
IC-C6IDT-IC,A,-5.69,-3.91,1.62,,,,,,,,,,,,
ITCC-Br,A,-5.74,-3.91,1.64,,,,,,,,,,,,
ITCC-Cl,A,-5.4,-3.78,1.66,,,,,,,,,,,,
H1,A,-5.51,-3.84,1.67,,,,,,,,,,,,
ITCC-M,A,-5.43,-3.68,1.72,,,,,,,,,,,,
F(DPP)2B2,A,-5.21,-3.39,1.82,,,,,,,,,,,,
P(T4-TPD-M),D,-5.6,-3.8,1.84,,,,,,,,,,,,
PTPDBDT,D,-5.6,-3.75,1.85,,,,,,,,,,,,
IDTT-TBTA,A,-5.51,-3.72,1.89,,,,,,,,,,,,
J62,D,-5.31,-3.08,1.92,,,,,,,,,,,,
J63,D,-5.28,-3.04,1.92,,,,,,,,,,,,
J64,D,-5.33,-3.09,1.92,,,,,,,,,,,,
PTQ10,D,-5.54,-2.92,1.93,,,,,,,,,,,,
J52-2Cl,D,-5.38,,1.94,,,,,,,,,,,,
J100,D,-5.35,-3,1.95,,,,,,,,,,,,
J101,D,-5.47,-2.97,1.96,,,,,,,,,,,,
J71-Cl,D,-5.33,-2.98,1.96,,,,,,,,,,,,
J91,D,-5.5,-3.02,2,,,,,,,,,,,,
Cz-RH,A,-5.53,-3.5,2.05,,,,,,,,,,,,
Flu-RH,A,-5.58,-3.53,2.1,,,,,,,,,,,,
2TC-TT-BDTFT,D,-5.45,-3.5,,,,,,,,,,,,,
2T-TCC-BDTFT,D,-5.41,-3.53,,,,,,,,,,,,,
3MT-Th,D,-5.42,-3.4,,,,,,,,,,,,,
6TBA,A,-5.24,-3.78,,,,,,,,,,,,,
A4T-16,A,-5.67,-3.96,,,,,,,,,,,,,
A4T-21,A,-5.89,-3.92,,,,,,,,,,,,,
A4T-23,A,-5.63,-3.98,,,,,,,,,,,,,
A701,A,-5.61,-3.8,,,,,,,,,,,,,
A702,A,-5.41,-3.74,,,,,,,,,,,,,
ACS8,A,-5.54,-4.05,,,,,,,,,,,,,
AQx,A,-5.59,-3.85,,,,,,,,,,,,,
AQx-2,A,-5.62,-3.88,,,,,,,,,,,,,
asy-PBDBTN,D,-5.41,-3.58,,,,,,,,,,,,,
B1,D,-5.37,-3.51,,,,,,,,,,,,,
BDDBO-4F,A,-5.56,-3.93,,,,,,,,,,,,,
BDDEH-4F,A,-5.57,-3.94,,,,,,,,,,,,,
BDT3TR,D,-5.1,-3.28,,,,,,,,,,,,,
BDTC-4Cl,A,-5.35,-3.75,,,,,,,,,,,,,
BDTS-4Cl,A,-5.45,-3.82,,,,,,,,,,,,,
BO2FC8,D,-5.5,-3.6,,,,,,,,,,,,,
BO2FEH,D,-5.59,-3.59,,,,,,,,,,,,,
BO-4Cl,A,-5.68,-4.1,,,,,,,,,,,,,
B-PDI-B,A,-5.57,-3.95,,,,,,,,,,,,,
Br-ITIC,A,-5.73,-4.2,,,,,,,,,,,,,
BSFTR,D,-5.59,-3.61,,,,,,,,,,,,,
BTA11,A,-5.29,-3.53,,,,,,,,,,,,,
BTA13,A,-5.34,-3.62,,,,,,,,,,,,,
BTA17,A,-5.41,-3.69,,,,,,,,,,,,,
BTA4,A,-5.5,-3.65,,,,,,,,,,,,,
BTA5,A,-5.55,-3.71,,,,,,,,,,,,,
BTA7,A,-5.56,-3.66,,,,,,,,,,,,,
BT-CIC,A,-5.49,-4.09,,,,,,,,,,,,,
BTCT-2Cl,A,-5.56,-3.95,,,,,,,,,,,,,
BTIC-2Cl-yCF3,A,-5.55,-4,,,,,,,,,,,,,
BTIC-COOMe,A,-5.41,-3.89,,,,,,,,,,,,,
BTIC-OCOMe,A,-5.35,-3.83,,,,,,,,,,,,,
BTP,A,-5.52,-3.82,,,,,,,,,,,,,
BTP-2Cl-delta,A,-5.57,-3.85,,,,,,,,,,,,,
BTP-4Cl,A,-5.66,-4.14,,,,-7.38,-2.22,2.39,519.5,13.183,-7.38,-2.22,2.42,513.2,10.2
BTP-4F-12,A,-5.69,-3.97,,,,,,,,,,,,,
BTP-4F-C5-16,A,-5.73,-3.93,,,,,,,,,,,,,
BTP-6F,A,-5.69,-3.97,,,,,,,,,,,,,
BTP-M,A,-5.48,-3.81,,,,,,,,,,,,,
BTP-PhC6,A,-5.58,-3.85,,,,,,,,,,,,,
BTP-S1,A,-5.55,-4.01,,,,,,,,,,,,,
BTP-S2,A,-5.65,-4.01,,,,,,,,,,,,,
BTP-S7,A,-5.52,-4.08,,,,,,,,,,,,,
BTP-S8,A,-5.63,-4.09,,,,,,,,,,,,,
BTP-S9,A,-5.63,-4.09,,,,,,,,,,,,,
BTPT-4F,A,-5.73,-4,,,,,,,,,,,,,
BTPTT-4F,A,-5.68,-4.06,,,,,,,,,,,,,
BTPV-4F,A,-5.39,-4.08,,,,,,,,,,,,,
BTPV-4F-eC9,A,-5.38,-4.06,,,,,,,,,,,,,
C8-ITCC,A,-5.45,-3.85,,,,,,,,,,,,,
C8-ITCC-Cl,A,-5.5,-3.93,,,,,,,,,,,,,
C8-ITIC,A,-5.63,-3.91,,,,,,,,,,,,,
CH1007,A,-5.59,-3.97,,,,,,,,,,,,,
Cl-ITIC,A,-5.7,-4.14,,,,,,,,,,,,,
CRIC-4F,A,-5.67,-3.9,,,,,,,,,,,,,
D18,D,-5.51,-2.77,,,,,,,,,,,,,
DF-PCIC,A,-5.49,-3.77,,,,,,,,,,,,,
di-PBI,A,-6.1,-4,,,,,,,,,,,,,
di-PDI,A,-6.1,-3.86,,,,,,,,,,,,,
di-PDI-2F,A,-6.22,-3.92,,,,,,,,,,,,,
DO-2F,A,-5.54,-3.9,,,,,,,,,,,,,
DR3TBDTT,D,-5.02,-3.27,,,,,,,,,,,,,
DRBDT-STVT,D,-5.14,-3.43,,,,,,,,,,,,,
DRBDT-TVT,D,-5.11,-3.41,,,,,,,,,,,,,
DRCN5T,D,-5.22,-3.41,,,,,,,,,,,,,
DRNCN5T,D,-5.22,-3.41,,,,,,,,,,,,,
DRTB-T,D,-5.51,-3.34,,,,,,,,,,,,,
DRTB-T-C4,D,-5.51,-3.34,,,,,,,,,,,,,
DTBT(TDPP)2,A,-5.7,-4.18,,,,,,,,,,,,,
DTDfBT(TDPP)2,A,-5.85,-4.33,,,,,,,,,,,,,
DTI,A,-6.1,-3.9,,,,,,,,,,,,,
DTPC-DFIC,A,-5.31,-4.1,,,,,,,,,,,,,
DTPC-IC,A,-5.21,-3.97,,,,,,,,,,,,,
DTP-in-F,A,-5.53,-3.92,,,,,,,,,,,,,
DTP-out-F,A,-5.61,-3.96,,,,,,,,,,,,,
eC9-2Cl,A,-5.57,-3.74,,,,,,,,,,,,,
F-0Cl,A,-5.43,-3.71,,,,,,,,,,,,,
F-1Cl,A,-5.46,-3.75,,,,,,,,,,,,,
F8IC,A,-5.4,-4,,,,,,,,,,,,,
F-BTA3,A,-5.52,-3.39,,,,,,,,,,,,,
FEHIDT,A,-5.95,-3.95,,,,,,,,,,,,,
FFI-1,A,-6.1,-3.5,,,,,,,,,,,,,
F-ITIC,A,-5.65,-4.09,,,,,,,,,,,,,
FITP,A,-5.48,-3.75,,,,,,,,,,,,,
FTAZ,D,-5.38,-3.17,,,,,,,,,,,,,
H11,D,-5.27,-3.45,,,,,,,,,,,,,
H13,D,-5.43,-3.39,,,,,,,,,,,,,
H14,D,-5.46,-3.47,,,,,,,,,,,,,
H2,A,-5.62,-3.94,,,,,,,,,,,,,
HD-4Cl,A,-5.68,-4.09,,,,,,,,,,,,,
HDO-4Cl,A,-5.7,-3.91,,,,,,,,,,,,,
H-ITIC,A,-5.61,-4.02,,,,,,,,,,,,,
HTAZ,D,-5.42,-3.44,,,,,,,,,,,,,
IBCT,A,-5.5,-3.7,,,,,,,,,,,,,
ICPDT-4F,A,-5.33,-3.91,,,,,,,,,,,,,
IDIC8-F,A,-5.51,-3.82,,,,,,,,,,,,,
IDIC8-H,A,-5.52,-3.76,,,,,,,,,,,,,
IDIC8-M,A,-5.51,-3.72,,,,,,,,,,,,,
IDT-2PDI,A,-5.53,-3.83,,,,,,,,,,,,,
IDTA,A,-5.88,-3.9,,,,,,,,,,,,,
IDTBR,A,-5.63,-3.8,,,,,,,,,,,,,
IDT-BT-R,A,-5.3,-3.59,,,,,,,,,,,,,
IDTC-4Cl,A,-5.5,-3.79,,,,,,,,,,,,,
IDTI,A,-5.81,-3.94,,,,,,,,,,,,,
IDTIC,A,-5.85,-3.89,,,,,,,,,,,,,
IDTIDSe-T-IC,A,-5.41,-3.81,,,,,,,,,,,,,
IDT-NTI-1HH,A,-5.4,-3.8,,,,,,,,,,,,,
IDT-NTI-2EH,A,-5.4,-3.9,,,,,,,,,,,,,
IDT-T,A,-5.41,-3.96,,,,,,,,,,,,,
IDTTA,A,-5.81,-3.97,,,,,,,,,,,,,
IDTTIC,A,-5.68,-3.84,,,,,,,,,,,,,
IDTT-OB,A,-5.59,-3.87,,,,,,,,,,,,,
IDT-Tz,A,-5.62,-4.09,,,,,,,,,,,,,
IFBR,A,-5.69,-3.64,,,,,,,,,,,,,
IffBR,A,-5.71,-3.77,,,,,,,,,,,,,
IFIC-i-4F,A,-5.42,-3.91,,,,,,,,,,,,,
IHIC2,A,-5.69,-3.86,,,,,,,,,,,,,
IHIC-N,A,-5.57,-3.8,,,,,,,,,,,,,
I-ITIC,A,-5.68,-4.14,,,,,,,,,,,,,
IOIC2,A,-5.41,-3.78,,,,,,,,,,,,,
IOIC3,A,-5.38,-3.84,,,,,,,,,,,,,
IT-2F,A,-5.64,-4.05,,,,,,,,,,,,,
IT-F,A,-5.66,-3.95,,,,,,,,,,,,,
ITIC-C9,A,-5.78,-3.97,,,,,,,,,,,,,
ITIC-Cl4,A,-5.5,-3.9,,,,,,,,,,,,,
ITIC-SC2C6,A,-5.74,-3.86,,,,,,,,,,,,,
ITN-C9,A,-5.78,-3.92,,,,,,,,,,,,,
ITTIC,A,-5.28,-3.82,,,,,,,,,,,,,
ITzN-C9,A,-5.62,-3.78,,,,,,,,,,,,,
J101 (actually J100),D,-5.3,-3.5,,,,,,,,,,,,,
J51,D,-5.29,-3.3,,,,,,,,,,,,,
J52-2F,D,-5.36,-3.42,,,,,,,,,,,,,
J52-Cl,D,-5.39,-3.45,,,,,,,,,,,,,
J52-F,D,-5.36,-3.42,,,,,,,,,,,,,
J81,D,-5.43,-2.98,,,,,,,,,,,,,
K12,A,-6.2,-3.6,,,,,,,,,,,,,
L1,D,-5.45,-2.79,,,,,,,,,,,,,
L24,D,-5.43,-3.48,,,,,,,,,,,,,
L68,D,-5.51,-3.56,,,,,,,,,,,,,
L810,D,-5.57,-3.58,,,,,,,,,,,,,
L8-BO,A,-5.68,-3.9,,,,,,,,,,,,,
m-DTC-2Cl,A,-5.65,-3.89,,,,,,,,,,,,,
m-ITIC-OR-4Cl,A,-5.78,-4.05,,,,,,,,,,,,,
N10,A,-5.7,-4.15,,,,,,,,,,,,,
N2200,A,-5.71,-4.02,,,,,,,,,,,,,
N3_srivani,A,-5.87,-3.9,,,,,,,,,,,,,
N4,A,-6.05,-3.89,,,,,,,,,,,,,
N6b,A,-5.06,-3.71,,,,,,,,,,,,,
N7,A,-5.56,-3.74,,,,,,,,,,,,,
NBDTP,A,-5.66,-3.79,,,,,,,,,,,,,
NCBDT,A,-5.36,-3.89,,,,,,,,,,,,,
NCBDT-4Cl,A,-5.6,-4.02,,,,,,,,,,,,,
NDI-3TH,A,-5.5,-4.1,,,,,,,,,,,,,
NDICz-6,A,-5.91,-4.19,,,,,,,,,,,,,
NDTR,D,-5.23,-3.5,,,,,,,,,,,,,
NFTI,A,-5.46,-3.77,,,,,,,,,,,,,
NITI-SeS,A,-5.76,-3.83,,,,,,,,,,,,,
NITI-Sse,A,-5.76,-3.81,,,,,,,,,,,,,
NNBDT,A,-5.46,-3.94,,,,,,,,,,,,,
P,D,-5.27,-3.6,,,,,,,,,,,,,
P2F-EH,D,-5.36,-3.04,,,,,,,,,,,,,
P2F-Ehp,D,-5.46,-3.13,,,,,,,,,,,,,
P2F-EHp,D,-5.38,-3.06,,,,,,,,,,,,,
P2F-EO,D,-5.41,-3.08,,,,,,,,,,,,,
P-4FP,D,-5.54,-3.61,,,,,,,,,,,,,
P5T,D,-5.41,-3.48,,,,,,,,,,,,,
P5T-2F,D,-5.51,-3.56,,,,,,,,,,,,,
PBBSB,D,-5.19,-3.63,,,,,,,,,,,,,
PBCT-2F,D,-5.58,-3.66,,,,,,,,,,,,,
PBDB-ST,D,-5.37,-3.59,,,,,,,,,,,,,
PBDB-T-2Cl,D,-5.52,-3.6,,,,,,,,,,,,,
PBDB-T-4Cl,D,-5.38,-3.47,,,,,,,,,,,,,
PBDB-T-SF,D,-5.41,-3.62,,,,,,,,,,,,,
PBDE-DFDT,D,-5.5,-3.56,,,,,,,,,,,,,
PBDE-TT,D,-5.49,-3.52,,,,,,,,,,,,,
PBDS-TZ,D,-5.41,-3.46,,,,,,,,,,,,,
PBDTNO-BDD,D,-5.27,-3.44,,,,,,,,,,,,,
PBDTNS-BDD,D,-5.35,-3.54,,,,,,,,,,,,,
PBDT-S-2TC,D,-5.47,-3.58,,,,,,,,,,,,,
PBDTS-DTBTO,D,-5.24,-3.6,,,,,,,,,,,,,
PBDTSF-TZNT,D,-5.45,-3.41,,,,,,,,,,,,,
PBDTS-TDZ,D,-5.39,-2.8,,,,,,,,,,,,,
PBDTS-TZNT,D,-5.39,-3.3,,,,,,,,,,,,,
PBDTTAZ-NaPh,D,-5.44,-3.49,,,,,,,,,,,,,
PBDT-TDZ,D,-5.35,-2.78,,,,,,,,,,,,,
PBDTTPD,D,-5.7,-3.7,,,,,,,,,,,,,
PBDTTS-TTffBT,D,-5.45,-3.69,,,,,,,,,,,,,
PBDTTT-EFT,D,-5.24,-3.66,,,,,,,,,,,,,
PBDTTT-E-T,D,-5.09,-3.22,,,,,,,,,,,,,
PBDTT-TT-F,D,-5.3,-3.6,,,,,,,,,,,,,
PBFSF,D,-5.27,-3.72,,,,,,,,,,,,,
PBF-SF,D,-5.46,-3.58,,,,,,,,,,,,,
PBFTT,D,-5.47,-3.56,,,,,,,,,,,,,
PBFZ-OP,D,-5.33,-3.01,,,,,,,,,,,,,
PBI,A,-5.8,-3.6,,,,,,,,,,,,,
PBN-S,D,-5.48,-3.52,,,,,,,,,,,,,
PBPD-Th,D,-5.42,-3.36,,,,,,,,,,,,,
PBQx-TF,D,-5.41,-2.82,,,,,,,,,,,,,
PBT1-EH,D,-5.43,-3.43,,,,,,,,,,,,,
PBTA-BO,D,-5.31,-2.89,,,,,,,,,,,,,
PBTA-PS,D,-5.34,-3.4,,,,,,,,,,,,,
PBTA-PSF,D,-5.52,-3.54,,,,,,,,,,,,,
PBTB-TF,D,-5.46,-3.63,,,,,,,,,,,,,
PBTCl,D,-5.43,-3.55,,,,,,,,,,,,,
PBT-Cl,D,-5.51,-3.6,,,,,,,,,,,,,
PBT-F,D,-5.39,-3.65,,,,,,,,,,,,,
PBTIBDTT,D,-5.47,-3.6,,,,,,,,,,,,,
PBZ,D,-5.18,-3.22,,,,,,,,,,,,,
PBZ1,D,-5.27,-3.06,,,,,,,,,,,,,
PBZ-Cl,D,-5.39,-3.41,,,,,,,,,,,,,
PBZ-ClSi,D,-5.56,-3.5,,,,,,,,,,,,,
PBZ-m-CF3,D,-5.49,-3.22,,,,,,,,,,,,,
PCDTBT,D,-5.5,-3.6,,,,,,,,,,,,,
PCE10-2Cl,D,-5.5,-3.93,,,,,,,,,,,,,
PCE10-2F,D,-5.47,-3.9,,,,,,,,,,,,,
PCE10-SF,D,-5.53,-3.76,,,,,,,,,,,,,
P-CIT,D,-5.5,-3.55,,,,,,,,,,,,,
PDBT-T1,D,-5.36,-3.43,,,,,,,,,,,,,
PDTSBT,D,-5.3,-3.5,,,,,,,,,,,,,
PF2-DTC,A,-5.76,-3.9,,,,,,,,,,,,,
PF2-DTGe,A,-5.78,-3.9,,,,,,,,,,,,,
PF2-DTSi,A,-5.74,-3.87,,,,,,,,,,,,,
PF3-DTC,A,-5.73,-3.91,,,,,,,,,,,,,
PF3-DTCO,A,-5.71,-3.95,,,,,,,,,,,,,
PFBDB-T,D,-5.47,-3.46,,,,,,,,,,,,,
PFBDT-IDTIC,A,-5.78,-3.85,,,,,,,,,,,,,
PFBZ,D,-5.36,-3.42,,,,,,,,,,,,,
PffBT4T,D,-5.36,-3.71,,,,,,,,,,,,,
PffBT4T-2DT,D,-5.29,-3.65,,,,,,,,,,,,,
PffBT4T-B,D,-5.61,-3.58,,,,,,,,,,,,,
PffBT-DPP,D,-5.66,-3.56,,,,,,,,,,,,,
PffQx-PS,D,-5.4,-3.55,,,,,,,,,,,,,
PffQx-T,D,-5.36,-3.56,,,,,,,,,,,,,
PFOPB,D,-5.5,-3.64,,,,,,,,,,,,,
P-FP,D,-5.54,-3.61,,,,,,,,,,,,,
P-FT,D,-5.48,-3.48,,,,,,,,,,,,,
PIDTTDTffBTA,D,-5.25,-3.63,,,,,,,,,,,,,
PN1,A,-5.71,-3.85,,,,,,,,,,,,,
POPB,D,-5.38,-3.57,,,,,,,,,,,,,
P-P,D,-5.33,-3.39,,,,,,,,,,,,,
PPDT2FBT,D,-5.43,-3.67,,,,,,,,,,,,,
PT4FB,D,-5.59,-3.61,,,,,,,,,,,,,
PTB7,D,-5.19,-3.43,,,,,,,,,,,,,
PTBTz-2,D,-5.48,-3.52,,,,,,,,,,,,,
PTFB-O,D,-5.36,-3.36,,,,,,,,,,,,,
PTFB-P,D,-5.32,-3.33,,,,,,,,,,,,,
PTIBT,D,-5.41,-3.61,,,,,,,,,,,,,
PT-IDTIC,A,-5.79,-3.87,,,,,,,,,,,,,
PT-IDTTIC,A,-5.59,-3.86,,,,,,,,,,,,,
PTO2,D,-5.59,-3.67,,,,,,,,,,,,,
PTQ11,D,-5.52,-2.76,,,,,,,,,,,,,
PTQ7,D,-5.38,-2.82,,,,,,,,,,,,,
PTQ8,D,-5.68,-2.92,,,,,,,,,,,,,
PTQ9,D,-5.41,-2.87,,,,,,,,,,,,,
PTT4FB,D,-5.58,-3.58,,,,,,,,,,,,,
PTZ1,D,-5.31,-3.34,,,,,,,,,,,,,
PTZ6,D,-5.36,-3.36,,,,,,,,,,,,,
PTzBI,D,-5.34,-3.46,,,,,,,,,,,,,
PTzBI-DT,D,-5.39,-3.51,,,,,,,,,,,,,
PTzBI-oF,D,-5.25,-3.25,,,,,,,,,,,,,
PvBDTTAZ,D,-5.47,-3.42,,,,,,,,,,,,,
PZ1,A,-5.74,-3.86,,,,,,,,,,,,,
QX2,D,-5.4,-3.1,,,,,,,,,,,,,
SM,D,-5.25,-3.33,,,,,,,,,,,,,
SM1-F,D,-5.37,-2.81,,,,,,,,,,,,,
SM1-S,D,-5.32,-2.81,,,,,,,,,,,,,
SM-Cl,D,-5.42,-3.34,,,,,,,,,,,,,
SN6IC,A,-5.38,-3.93,,,,,,,,,,,,,
SN6IC-4F,A,-5.52,-4.11,,,,,,,,,,,,,
SZ5,D,-5.5,-2.92,,,,,,,,,,,,,
TfIF-4FIC,A,-5.71,-3.96,,,,,,,,,,,,,
TfIF-IC,A,-5.51,-3.77,,,,,,,,,,,,,
TPBT-RCN,A,-5.42,-3.71,,,,,,,,,,,,,
TPD3,A,-5.65,-3.79,,,,,,,,,,,,,
TPD-3,D,-5.14,-3.32,,,,,,,,,,,,,
TPD-3F,D,-5.32,-3.5,,,,,,,,,,,,,
TPDCIC,A,-5.38,-3.78,,,,,,,,,,,,,
TPDCNC,A,-5.37,-3.83,,,,,,,,,,,,,
TPT10,A,-5.52,-3.99,,,,,,,,,,,,,
TT-FIC,A,-5.42,-4.13,,,,,,,,,,,,,
W1,D,-5.65,-4.1,,,,,,,,,,,,,
X1-PCIC,A,-5.35,-3.77,,,,,,,,,,,,,
X-PCIC,A,-5.37,-3.79,,,,,,,,,,,,,
Y1,A,-5.45,-3.95,,,,,,,,,,,,,
Y14,A,-5.56,-4.01,,,,,,,,,,,,,
Y1-4F,A,-5.56,-4.11,,,,,,,,,,,,,
Y18,A,-5.58,-3.98,,,,,,,,,,,,,
Y18-1D,A,-5.43,-3.75,,,,,,,,,,,,,
Y2,A,-5.43,-4.04,,,,,,,,,,,,,
Y22,A,-5.69,-3.94,,,,,,,,,,,,,
Y25,A,-5.49,-4.06,,,,,,,,,,,,,
Y26,A,-5.58,-4.03,,,,,,,,,,,,,
Y3,A,-5.55,-4.01,,,,,,,,,,,,,
Y6-T,A,-5.51,-3.86,,,,,,,,,,,,,
YITI-0F,A,-5.59,-3.88,,,,,,,,,,,,,
YITI-2F,A,-5.6,-3.92,,,,,,,,,,,,,
YITI-4F,A,-5.61,-3.99,,,,,,,,,,,,,
Y-T,A,-5.42,-3.7,,,,,,,,,,,,,
ZITI-C,A,-5.65,-3.81,,,,,,,,,,,,,
ZITI-N,A,-5.57,-3.82,,,,,,,,,,,,,
ZITI-S,A,-5.8,-3.87,,,,,,,,,,,,,
ZR1,D,-5.32,-3.53,,,,,,,,,,,,,
